name,description,averageRating,ratingCount,fiveStarRatings,fourStarRatings,recentChanges
Bitcoin está aquí y ahora.,"Obtenga una Cartera Bitcoin. Dé libertad a su dinero y su mente. Ya no más cuotas exorbitantes o difíciles transferencias o giros, ni sitios web obscuros o intermediarios en Internet, Bitcoin es la mejor forma de enviar y recibir dinero en Internet. Pague mucho menos que con cualquier otro servicio o sistema monetario tradicional, lo mismo que con bancos. Bitcoin es dinero digital. Tan sencillo como el email, y más seguro. Baje sus costos y efectúe transacciones casi instantáneas empleando la red Bitcoin. Es como un banco de Internet y bitcoin es la divisa digital del siglo 22. Bitcoin está aquí y ahora. Comience con nuestra cartera. Solo regístrese ahora y obtenga una cartera bitcoin sin costo, la cual es el sitio donde usted puede enviar y recibir bitcoins. Después de eso, emplee una casa de cambio de Bitcoin para transferir desde su divisa local. La creación de una nueva cartera bitcoin toma literalmente unos pocos segundos. Usted podrá enviar y recibir pagos de inmediato.",4.1,170,121,7,[We've updated the support section of the app with our new Help area. Enjoy!]
Bitcoin Wallet,"---- The World's Most Popular Bitcoin Wallet, featured in the New York Times and the Wall Street Journal ---- Join more than 10 million Blockchain wallet users and start using Bitcoin now! Access your Blockchain wallet on your Android phone or create a new wallet. It's free and takes just a few seconds. Here's what you'll get: Ease of use - Send and receive Bitcoin instantly with anyone in the world - It's safe, simple, and fun Peace of mind - You are the only one who has access to your bitcoins - You stay in control High security - Successfully completed security audits by world-class researchers - PIN Protection Excellent customer support at https://blockchain.zendesk.com More features - Hierarchical deterministic address architecture - Simplified backup and recovery with a 12 word recovery phrase - Server-side entropy for maximum randomness - 20+ currency conversion rates - 25+ languages - Paper Wallet import - Spending from watch-only addresses - Browse Bitcoin merchants in your area - Client side encryption and decryption - Open source - Bleep on transaction - Amounts in BTC, mBTC, or bits - QR Code Support Monedero ---- El más popular del mundo Bitcoin, presentado en el New York Times y el Wall Street Journal ---- Únete a más de 10 millones de usuarios de cartera Blockchain y comenzar a usar Bitcoin ahora! Acceder a su cartera Blockchain en su teléfono Android o crear una nueva cartera. Es gratis y toma sólo unos segundos. Esto es lo que se obtiene: Facilidad de uso - Enviar y recibir Bitcoin instantáneamente con cualquier persona en el mundo - Es seguro, simple y divertido Tranquilidad de espíritu - Usted es el único que tiene acceso a sus bitcoins - A mantener el control Alta seguridad - Completado con éxito las auditorías de seguridad por los investigadores de talla mundial - Protección PIN Excelente apoyo al cliente en https://blockchain.zendesk.com Más características - La arquitectura jerárquica de direcciones determinista - Copia de seguridad y recuperación simplificado con una frase de recuperación de 12 palabras - Entropía del lado del servidor para obtener la máxima aleatoriedad - Más de 20 tipos de conversión de divisas - más de 25 idiomas - Monedero importación de papel - El gasto de las direcciones de relojes de sólo - comerciantes Navegar Bitcoin en su área - Cifrado y descifrado del lado del cliente - Fuente abierta - Rayos de transacción - Los importes en BTC, MBTC, o los bits - Soporte de código QR",4.4,20166,14446,2790,"[Fixed crash on devices pre-Kitkat., Fixed minor display issue.]"
Banco Popular App,"Con disponibilidad inmediata y seguridad usted puede: • Abrir la cuenta de ahorros Cuenta Exprés en solo 3 minutos, sin papeles, sin necesidad de ir al banco • Consultar saldos y movimientos • Pagar servicios públicos y privados, obligaciones Banco Popular o Grupo AVAL y de cualquier tarjeta de crédito Visa o MasterCard • Recargar su celular • Realizar Transferencias • Hacer avances de tarjeta de crédito a cuentas del Banco Popular • Generar claves temporales para retiro de efectivo en nuestra red de cajeros automáticos sin necesidad de tarjeta • Consultar información de los diferentes puntos de atención disponibles (Oficinas, cajeros y Corresponsales bancarios) • Auto gestionar el enrolamiento y olvido de clave • Recargar Fácil Pass • Bloquear productos • Contactar con el servicio de atención al cliente a través de nuestras líneas de atención • Conocer de manera oportuna novedades e información sobre los productos ofrecidos por el banco.",3.8,615,325,80,"[Realice consultas, transacciones, pagos y recargas con toda comodidad y seguridad. Ingrese a sus cuentas sólo con su huella, si su dispositivo cuenta con lector de huella.]"
Bitcoin Wallet - Coinbase,"Bitcoin, fácil y seguro Coinbase Bitcoin Wallet es el monedero bitcoin recomendado como #1 que ofrece la más completa gama de servicios bitcoin para la web y para móviles. Hacemos fácil comprar, usar y aceptar moneda bitcoin. Casi 2 millones de usuarios confían y más de 38 mil comerciantes aceptan bitcoins por Coinbase. Destacado de Coinbase Bitcoin Wallet ? Comprar y vender bitcoins: Puede vender y comprar fácilmente directamente de su cuenta Coinbase sin tener que salir de la app móvil. ? Conectar una cuenta bancaria: Puede fácilmente depositar o retirar dinero y comprar o vender bitcoins con su cuenta bancaria vinculada. ? Servicios para comerciantes: aceptada por más de 38 000 empresas tales como Dell, Expedia, y Overstock. ? Web y móvil: puede abrir su monedero bitcoin y administrarlo completamente tanto en la web como en los móviles, accediendo en cualquier momento a sus bitcoins. ? Cubrimiento global: disponible en 11 idiomas, ES, FR, DE, IT, RU, PT, JA, KO, zh-CN y zh-TW Coinbase Bitcoin Wallet para Android Coinbase Bitcoin Wallet para Android ha sido diseñada desde el principio pensando en la mejor experiencia bitcoin posible en el dispositivo Android. Las características incluyen: ? Monedero: envíe y reciba instantáneamente bitcoins por nombre, correo electrónico o dirección bitcoin ? Bóveda: ofrece seguridad extra con múltiples firmantes, retiros programados y almacenamiento privado ? Compra y venta: convierta al instante su moneda local en bitcoins o a la inversa ? Enviar y solicitar: envíe y solicite dinero de cualquiera de sus contactos Google, o envíe o haga solicitudes por NFC o código QR ? Seguridad: defina una clave para proteger la app y deshabilitarla remotamente si pierde el acceso al teléfono o este es robado. ? Cómo usamos los permisos de Android NFC (para enviar bitcoins por medio de NFC), CÁMARA (para escanear códigos QR), CUENTAS (para llenar automáticamente la dirección de correo electrónico durante el inicio de sesión), SMS (para verificación telefónica con un solo clic), y CONTACTOS (para enviar bitcoins a sus contactos). Acerca de Coinbase Coinbase es una compañía privada con base en San Francisco que proporciona servicios bitcoin para web y móviles. Nuestra misión es proporcionar los servicios de valor agregado más seguros y fáciles de usar para los consumidores y comerciantes. Acerca de Bitcoin Bitcoin es una moneda digital usada en todo el mundo para transferir valor de forma segura e instantánea. Similar a las acciones o propiedades, el valor del bitcoin se establece comprando y vendiendo en el mercado abierto. Hay muchas formas de ganar bitcoins, tales como minería, juegos y comercio de bitcoins. Acerca del precio bitcoin El precio bitcoin es el precio al cual puede comprar bitcoin en su moneda local. Los precios de bitcoin cambian de acuerdo con la oferta y demanda de bitcoins. Coinbase muestra el precio bitcoin en más de 100 monedas, y puede ver el valor bitcoin con solo un clic. Acerca de la minería de bitcoins La minería de bitcoins es la forma como entra en circulación un nuevo bitcoin. Cualquiera con una conexión a internet y el hardware correcto puede participar en minería de bitcoins. La dificultad de la minería bitcoin es ajustada automáticamente por la red bitcoin. Acerca de Blockchain El blockchain registra las transacciones de bitcoin y es la parte más importante del sistema bitcoin. El blockchain es el único lugar en que se dice que existe el bitcoin en forma de salidas de transacciones sin gastar. Acerca de los monederos bitcoin Obtener un monedero bitcoin es el primer paso para la minería, juegos o comercio de bitcoins. Bitcoin usa criptografía de clave pública, en la cual se generan dos claves criptográficas, una pública y otra privada. Un monedero bitcoin es una colección de estas claves.",4.4,87172,55420,19937,"[Ahora puede utilizar Coinbase billetera para comprar, vender y almacenar éter, además de Bitcoin. Esta funcionalidad está disponible en 32 países y una lista de países se puede encontrar en goo.gl/dW8YxN., Si usted tiene cualquier problema, por favor, en contacto con nosotros en support@coinbase.com]"
Calculadora Salarial COL,"CreaMovil ha diseñado y desarrollado una nueva aplicación gratuita para que todos los Colombianos vinculados mediante un contrato laboral conozcan sus derechos en materia laboral, estimen y verifiquen sus ingresos netos, el monto de las prestaciones sociales que deben recibir por ley, controlar sus horas extras y conocer los beneficios que le brinda el gobierno en caso de desempleo. Cálculos que podrás estimar: - Ingresos netos. - Deducciones (Parafiscales, impuestos) - Retención en la fuente (Método 2) - Horas Extras (En sus diferentes modalidades: Diurno, Nocturno y Dominicales) - Liquidación de contrato laboral. Adicional a ello podrás acceder a importante información actualizada en materia laboral y al modulo de Desempleo donde se dan a conoce las ayudas monetarias gubernamentales en caso de perdida de empleo. Palabras Clave: Prestaciones, nómina, ingresos, calculo, salario, empleo, trabajo, indeminzacion, pago, retefuente, cesantias ,vacaciones, prima, Colombia.",4.5,109,78,14,[Se corrigen bugs menores de la interfaz.]
BBVA Wallet | Colombia,"BBVA Wallet Colombia ?Descubre la experiencia de pagar y administrar tus tarjetas BBVA. Todo será más rápido, cómodo y seguro desde BBVA Wallet.   Descarga BBVA Wallet e ingresa fácil con la clave de acceso de la App Banca Móvil de BBVA. ? Con BBVA Wallet:   1. ¡Vive la experiencia de gestionar tu tarjeta! Nunca había sido tan fácil gestionar tu tarjeta. Administra la seguridad de tu tarjeta, apágala o enciéndela de manera inmediata. ?2. Tus tarjetas en tu celular Serás pionero de la tecnología de Pago sin Contacto y disfrutarás de lo simple que es pagar con BBVA Wallet. Solicita un sticker para Pago sin contacto, adhiérelo al respaldo del celular y actívalo desde BBVA Wallet para disfrutar de la sencillez y de la experiencia de pagar en comercios sin necesidad de portar tus tarjetas.  3. Compra en internet con mayor seguridad Solicita gratis el servicio tarjeta Online y lleva tu tarjeta física al mundo digital. BBVA Wallet generará en pantalla un número de tarjeta habilitado por hasta 90 días para que evites exponer los datos de tus tarjetas físicas en comercios por internet.",4.4,933,727,38,"[- Mejora en el proceso de firma de operaciones, - Aumento de la vigencia de la tarjeta online a 90 días]"
Banco Agrario App,"En el Banco Agrario de Colombia queremos hacer más fácil el manejo de sus productos financieros, por eso ponemos a su servicio diferentes canales de atención para que usted realice sus operaciones de manera fácil y segura. Realice consultas de saldos y movimientos de sus productos, haga transferencias entre cuentas del Banco Agrario de Colombia, consulte las oficinas y cajeros más cercanos a su ubicación y reciba notificaciones sobre novedades de productos. Descargue gratis Banco Agrario App en su celular y estaremos al alcance de su mano.",2.6,637,209,33,"[¡Nuestra aplicación sigue evolucionando!, - Ahora puede hacer retiros de efectivo sin utilizar su tarjeta débito, a través de una clave de seguridad generada desde la app., - También podrá consultar los términos y condiciones del canal., - Recuerde que para poder acceder a esta app, debe registrarse previamente en la nueva Banca Virtual. Más información en el 018000 915000 o ingresando a https://www.bancoagrario.gov.co]"
Registro Contable,"Registro Contable es una aplicación utilitaria que le ayuda a controlar el dinero personal. Podrá verificar los ingresos, los gastos y los saldos mensuales además de los datos estadísticos directos. Aplica el concepto de la contabilidad de doble entrada y permite un control efectivo de sus activos al mismo tiempo que el registro. ? Aplicación del concepto de contabilidad de doble entrada Más allá del registro contable para anotar simplemente los ingresos y los egresos, se permite un control más eficaz de ‘mis activos’, ya que al registrar el ingreso, se deposita en ‘mi cuenta’ y al registrar el egreso, sale también de ‘mi cuenta’. ? Control de tarjetas de crédito Ingresando el día de vencimiento, se puede verificar inmediatamente el importe a pagar y el importe impago en la pestaña de activos. ? Función de contraseña Al estar optimizado en estado multitareas, se puede verificar siempre la contraseña aun en estado multitareas, por lo que permite un control seguro del registro contable hogareño. ? Transferencia, transferencia programada Permite la transferencia entre los activos y un control más efectivo de los activos. Además, a través de la transferencia programada y la transferencia repetida es más cómodo el control del sueldo, seguros, depósitos a plazo fijo y los préstamos. ? Función de estadística directa Podrá verificar de una vez los importes usados por cada categoría y las diferencias mensuales en base a los datos ingresados. Además podrá verificar las variaciones de los activos por cada uno, no solamente de categoría sino también a través de los gráficos de ingreso/egreso por cada activo. ? Actualización / Recuperación & Generación de archivo Excel Se puede dar salida actualizada por correo electrónico y se puede realizar la actualización y la recuperación desde el iTunes y la Contabilidad Hogareña por PC. Además ofrece los datos en archivo Excel (.xls). Podrá importar los archivos CSV en forma de Unicode. ? Otras funciones - Función de cambio del día base del mes - Función de calculadora (Importe > Botón superior derecho) - Función de apagado-encendido de sub-clasificación - Función de asignación de presupuesto - Función de registro e importación de historial usado más frecuentemente - Función de búsqueda (Tab de Contabilidad Hogareña > Botón de cierre de cuenta > Botón de Búsqueda) ? Versión de pago ? - Quitar anuncios. - Activos ilimitadas (En la versión gratuita, limitada a 10.) - Editar PC ( http://youtu.be/5S4S3EQ3AZE ) Puede editar, ordenar y consultar la Contabilidad Hogareña Fácil guardado datos en Android por medio de la PC usando el Wifi. Es posible hacer consultas por período y verificar, ordenando por activos en clasificación mayor o menor.",4.6,86329,59865,20383,"[3.6.x, Función de huella dactilar añadida, Se agregó la función de acumulación diaria de activos, Se agregó la función de agrupación de activos, Gastos de transferencia - función estadística añadida, Otras correcciones de errores, 3.5.x, la función de las comisiones de entrada añadió, Los totales de la búsqueda, la búsqueda Periodo functon añadido, función de selección múltiple añadió, Calendario de la pantalla mejorada, Otros errores corregidos]"
Nequi Colombia,Nequi: La plata a tu ritmo Nequi tiene una misión: Que puedas manejar tu plata fácil y desde tu celu. Por eso prometemos estar en innovación y reinvención permanente para ti. Abre una cuenta en 5 minutos y: - Envía plata gratis a todo el país. - Pide plata a tus amigos y a tu familia. - Saca en más de 3 mil cajeros Bancolombia. - Paga en miles de puntos a través de códigos QR Recuerda: Nequi es una cuenta especial. Por eso tiene límites en la cantidad de plata que se puede manejar. Lo máximo que puedes tener en Nequi es $5.901.736 pesos y lo máximo que puedes sacar al mes es $2.065.607 pesos. ¿Quieres saber más? Síguenos en Facebook @appnequi o escríbenos a escribe@nequi.com ¿Te gusta? Apenas estamos empezando.,4.0,3138,1897,444,"[Ahora desde Nequi puedes enviar plata a bancos, porque queremos que cada vez uses la plata más fácil y desde tu celu ;)]"
Token Movil,"Con la nueva App Token Móvil del Banco de Bogotá puedes hacer más desde donde estés. Para qué sirve: Genera claves únicas y aleatorias para cada ingreso a Internet, Servilínea y PSE. Te da la tranquilidad que necesitas para realizar operaciones a través de nuestros canales virtuales y electrónicos. Descarga la nueva aplicación de Token Móvil, la cual permite: • Inscribir cuentas para hacer transferencias. • Inscribir facturas de servicios públicos para su pago. • Pagar impuestos. • Actualizar tus datos para poder recibir extractos por correo electrónico. Sólo requieres conexión a internet en tu Smartphone ó tablet para descargar la aplicación y registrarse. Para generar los códigos no debe estar conectado. Por motivos de seguridad los clientes únicamente pueden tener un token, ya sea físico o móvil. Los clientes que solicitaron el token físico pero no lo han recogido, podrán descargar la aplicación y podrán tener el token sin necesidad de ir a una oficina. Los clientes que tienen token físico pueden descargar la aplicación y su token actual dejará de generar códigos válidos. Desinstalar la aplicación o eliminar el Token desde la aplicación, no significa que se desvincule el cliente del servicio, por lo tanto se seguirá solicitando el Token cuando ingrese a los Canales Electrónicos que lo solicitan.",3.2,1386,574,146,"[Ajustes para mejorar su experiencia de uso en la aplicación., Esta actualización no requiere realizar el registro en Token Móvil nuevamente.]"
Davivienda Móvil,"Con Davivienda Móvil realice la consulta de sus productos, transferencias entre cuentas Davivienda, DaviPlata y hacia otros bancos, además de todos los pagos de productos del Banco y Servicios públicos de forma fácil y segura. Con Davivienda Móvil usted además podrá: * Retirar dinero desde sus cuentas sin necesidad de usar su tarjeta débito en nuestros cajeros automáticos Davivienda * Pagar servicios públicos y privados a través del código de barras que se encuentra en su factura usando la cámara de su celular * Adquirir productos de forma 100% digital como nuestro nuevo CDAT Virtual (Proximamente mas productos) * Programar automáticamente el pago de servicios públicos, transferencias entre cuentas Davivienda, Daviplata y otros bancos, además de recargas de forma periódica * Realizar la apertura de Bolsillos donde podrá ahorrar dinero de forma automática * Comunicarse con nosotros a través de Atención en Línea, donde encontrará una completa sección de preguntas frecuentes y la opción de hablar con un asesor a través de Chat * Ajustes de Seguridad para el manejo de sus productos y servicios con el Banco * Actualizar su datos sin necesidad de acercarse nuevamente a oficinas Recuerde descargar la última actualización de nuestra App Davivienda Móvil para disfrutar de todas las funciones y mejoras que disponemos para usted. *Es deber del usuario realizar las actualizaciones disponibles de la aplicación para su correcto funcionamiento. **Aplica solo para productos y servicios de Banco Davivienda S.A Colombia. Uso de Google Maps para la funcionalidad de geolocalización: Map data ©2014 Google",4.0,11350,6459,2113,"[Davivienda Móvil regularmente ofrece actualizaciones para ofrecer a nuestros clientes mejores experiencias de uso., En esta versión encontrará:, * 'Mis pagos automáticos' ahora le permite también programar transferencias y recargas de forma periódica, * En 'Adquiera sus productos' podrá abrir fácilmente nuevos productos. Invierta en nuestro nuevo CDAT, * En 'Ajustes de seguridad' podrá configurar el envío de códigos de confirmación a su correo electrónico, muy útil para cuando salga de viaje]"
Gastos Diarios 3,"Gastos Diarios es una aplicación diseñada para organizar tus gastos y tus ingresos, registra por fecha tus movimientos de dinero y después revisa los totales diarios, mensuales o anuales en los reportes. Organizar tus gastos te permite tener un mejor control sobre tu dinero. • Registra tus ingresos y tus gastos, clasificalos por categoría. • Puedes modificar o eliminar los registros que hayas creado. • La aplicación te mostrara reportes agrupados por periodos, junto con tu saldo del periodo. • También puedes programar registros frecuentes, de esta manera la aplicación agregará por ti los movimientos que son repetitivos en periodos fijos. • Si lo requieres puedes proteger tu información con contraseña. • La aplicación te permite crear un respaldo de tu base de datos para restaurar tu información en caso de ser necesario. • Traducciones disponibles: español, inglés, portugués, alemán, ruso y otros. • Widget de 3x1 con el resumen del mes. • Reportes disponibles: diario, semanal, quincenal, mensual y anual. • Los reportes crean gráficas • Pantalla horizontal para tablets. • Elige el formato de moneda y el formato de fecha que se usa en tu país.",4.5,106950,73347,22986,[Versión 3.2.13]
Mobills: Control de Gastos,"La aplicación Mobills Finanzas Personales es la solución perfecta para quién quiere registrar todos los gastos, ingresos y ahorrar de manera sencilla y rápida. Tenga el control de tus finanzas fijando presupuestos y haciendo metas realistas. Con muchas herramientas disponibles tú no sólo vas a ahorrar más como también ayudar a otras personas en este reto financiero. Mobills Finanzas Personales va a ayudarte a mantener la gestión del presupuesto familiar o personal. Con interfaz y gráficos amigables tu puedes añadir gastos e ingresos con un toque. Ya hizo la pregunta: ¿Cómo organizar mis finanzas y ahorrar? La necesidad de un buen gestor de gastos y presupuesto se hace necesario sin importar cuales sean tus operaciones financieras. Características de Mobills Finanzas Personales: ? Adjuntar archivos y fotos a los gastos e ingresos [permiso de leer y guardar archivos] ? Importación automática de SMS (Bancomer, Banamex, HSBC, Santander…) ? Gráficos interactivos para analizar y mantener el control financiero ? Sencillo y rápido para registrar todos sus gastos diarios ? Gastos por ubicación [permiso de acceso a ubicación] ? Alertas por correo electrónico de cuentas a pagar ? Sincronización en la nube [permiso de internet] ? Filtros para organizar su registro contable ? Control de tarjeta de crédito integrado ? Ahorrar fijando presupuestos y metas ? Sincronización en diversos aparatos ? Extracto mensual por categoría ? Widget (Gastos, Saldo) ? La prensa habla de nosotros: “Mobills Finanzas Personales es un excelente control financiero personal para ayudarte a administrar las finanzas familiares y tener un mejor control de tus gastos, ahorros, presupuestos, finanzas personales y familiares. La gestión del presupuesto familiar nunca estuvo tan fácil. La aplicación es de 10. Tiene disponibilidad de muchos recursos para el control del flujo de dinero que garantiza la estabilidad para ahorrar y mantenerse siempre en el control de tus finanzas” – Techtudo ? ------------------------------ Ahora que ya sabes que Mobills Finanzas Personales es el más completo y sencillo app para tener la gestión de tu dinero y ayudar a mantener el control financiero tuyo y de tu familia, podrás compartir con amigos y familiares para que todos logren sus sueños. El mejor control de gastos en la palma de tus manos. Atención: ¡La aplicación con todas sus funciones necesita ser pagada! Usted usará 15 días como usuario Premium. ¡Después de los 15 días algunas funciones serán bloqueadas! Este posee una versión gratuita que usted tendrá funcionalidades limitadas. Entre en https://es.mobillsapp.com para sacar todas sus duda!",4.6,133757,93612,28584,"[Increíbles novedades:, - Nuevo design del app, - Mejoras en usabilidad, - Nuevo menú moderno, - Nuevos informes y gráficos, - Nueva funcionalidad para buscar todos tus gastos., - Mejoras de rendimiento, - Corregido pequeños errores, - Mejoras en la sincronización de datos]"
"Libertex - online trading: Forex, Bitcoin & CFDs","¡Consiga $5000 para operar sin riesgo en una cuenta demo! Libertex es la mejor aplicación para ganar dinero al invertir en diferentes activos financieros. ¡Creado por operadores para operadores! La elección perfecta para los inversores principiantes y experimentados. Todas las inversiones en una sola aplicación: • Valores de compañías líderes (Facebook, Apple, Microsoft, Coca-Cola, Nintendo, Alibaba y muchas más); • Índices de stocks (Dow Jones, NASDAQ, DAX, Spain 40, Italy 40, FTSE y otros); • Metales (oro, plata, cobre, platino); • Divisas (los pares de divisas más populares y Bitcoin); • Crudo y gas (Brent Crude Oil, WTI y otros); • Agricultura (coffee, sugar, cocoa, corn, soybean, wheat). Oferta especial: ingrese fondos en su cuenta por un valor superior a 100 USD y consiga un Bono de Bienvenida de un 100% de su primer ingreso. Libertex es para usted, si: • Desea poner su dinero a trabajar; • Necesita una tasa de reembolso mayor que las tasas de depósitos bancarios; • Desea administrar su capital rápida y eficazmente; • Aprecia la simplicidad y la funcionalidad. 19 años en el mercado Forex El mejor Forex broker 2016",3.8,36582,20172,4705,"[Welcome to the new Forex Club Libertex app., In this release we've made a number of under the bonnet performance improvements, to further enhance your Forex Club Libertex experience., Love the app? Please rate us. Your feedback is paramount., Have a question? Contact our Customer Services team in app, via Live Chat.]"
Plus500 Negociación Online,"Plus500 es una innovadora plataforma de negociación de CFD (su capital está en riesgo). Usted puede negociar CFD apalancados en: Acciones, Fórex, Índices, Materias Primas, Criptomonedas, ETF y Opciones. Plus500 es la Plataforma de Negociación de CFD número 1 en Europa reflejada en el número record de 104,432 nuevos inversores en 2016. La aplicación ofrece una interfaz de usuario elegante e intuitiva apropiada para negociar en cualquier momento, y en cualquier lugar. Los CFD son un producto difícil de entender, la CNMV considera que no es adecuado para inversores minoristas debido a su complejidad y riesgo. Abra una cuenta de demostración gratis e ilimitada en 5 minutos. Usted puede practicar la negociación en el modo de demostración y pasar a negociar con dinero real cuando se sienta listo para ello. • Negociación de CFD en los instrumentos financieros más populares del mundo en Plus500 sin comisiones. • Compre/Venda CFD en Acciones e Índices de las Bolsas de Valores líderes: NYSE, Euronext, LSE y muchas más. • Obtenga acceso a cotización de mercado en tiempo real de acciones populares, criptomonedas, Índices así como materias primas como Petróleo y Oro. • Negocie CFD en los instrumentos más negociados en todo el mundo como Bitcoin, Ethereum, Oro, Petróleo, Plata y otras acciones, Índices y Materias Primas. • Defina topes y límites para proteger sus posiciones incluyendo un tope garantizado. • Protección de balance negativo - usted no puede perder más de su balance de cuenta de negociación. • Fácil monitoreo de su balance, capital y margen en todo momento. • Gráficos de tiempo real gratuitos y transmisión en cuotas en vivo. • Apoyo profesional multi idioma 24/7. • Negocie con apalancamiento hasta 1:300. • Deposite fondos en su cuenta con tarjeta de crédito, PayPal o transferencia bancaria. • Cumple los requisitos de protección de dinero de clientes. • Plus500 es el Patrocinador Principal del Club Atletico de Madrid. • Plus500 es el Patrocinador Principal del equipo australiano de Super Rugby The Brumbies. Plus500 Ltd ofrece su Plataforma de Negociación de CFD por medio de la marca Plus500 a través de sus subsidiarias: Plus500UK Ltd está autorizada y regulada por la Autoridad de Conducta Financiera (FRN 509909). Plus500CY Ltd está autorizada y regulada por la Comisión de Valores y Bolsa de Chipre (Licencia No. 250/14). Plus500AU Pty Ltd está autorizada y regulada por ASIC (AFSL #417727). Licencia de emisor de derivativos en Nueva Zelanda, FSP No. 486026. Por favor diríjase a los PDS disponibles en nuestro sitio web. Plus500IL Ltd está autorizada y regulada en Israel. Los servicios ofrecidos por Plus500 pueden estar restringidos en ciertas jurisdicciones; es su responsabilidad operar de acuerdo a la Ley local. Si su dispositivo cuenta con una versión menor a Android 6.0, se le solicitará una autorización para la cámara con el fin de permitir una carga fácil de los documentos de verificación.",4.2,67096,40501,14188,"[Instrument details screen redesigned - offering valuable trading data in real-time., We are committed to giving you a fast and reliable trading experience on Shares, Commodities, Forex, Crypto, Indices and more.]"
Xapo · Bitcoin Wallet & Vault,"The Xapo App is a mobile Bitcoin and multi-currency wallet that combines convenience and industry-leading security for managing your Bitcoins and sending money to friends and family instantly all over the world! Features • Xapo Wallet: Functions just like a checking account for managing daily spending. • Easily send, receive, and convert funds in all currencies worldwide. • Top up your account with cash, bank transfers, credit card, or - of course - Bitcoin! • Use your Xapo Debit Card for in-store purchases, online, and at ATMs worldwide. • Chat and send money to any email address or phone number instantly! Some features may be unavailable in your country La App XAPO es un móvil billetera Bitcoin y multi-moneda que combina comodidad y seguridad líder del sector de la gestión de sus bitcoins y el envío de dinero a sus amigos y familiares al instante en todo el mundo! Caracteristicas • XAPO Monedero: funciona igual que una cuenta de cheques para la gestión de gastos diarios. • enviar fácilmente, recibir y convertir los fondos en todas las monedas en todo el mundo. • Carga tu cuenta con dinero en efectivo, transferencias bancarias, tarjetas de crédito, o - por supuesto - Bitcoin! • Use su tarjeta de débito XAPO de compras en la tienda, en línea, y en los cajeros automáticos en todo el mundo. • buscar y enviar dinero a cualquier dirección de correo electrónico o número de teléfono al instante! Algunas características pueden no estar disponibles en su país",4.4,30106,21115,4544,"[- Debit Card Order flow, - Withdrawal flow, - Support direct messages, - UX improvements, - Bug fixes]"
CitiMobile CO,"Citibank Colombia le ofrece Citi Mobile Descargue el aplicativo e ingrese con el mismo usuario y contraseña de Citibank Online. A través de Citi Mobile, usted podrá: • Obtener información de sus cuentas y productos. • Realizar transferencias entre sus cuentas. • Efectuar pagos de sus productos. • Transferencias a cuentas Citibank y otros bancos. Conozca las características y beneficios ingresando a www.citibank.com.co o llamando a Citiphone El aplicativo cuenta tiene una encripción de 128-bits",3.2,2069,767,345,"[- Compatibilidad con Android 7 y iOS 10., - Ajustes en servicios de transferencias a terceros y pago de tarjeta de crédito.]"
PSE,"Mediante esta aplicación podrás realizar pagos con PSE, mejorando la experiencia de pago en el Banco y automatizando el proceso con menos clics. Nuestra App solo funciona durante un pago, recuerda los siguientes pasos para usarla. 1. Inicia el pago en la web de la empresa que quieras. 2. En la página de PSE presiona el botón “Pagar en PSE Móvil”. 3. Listo, realizar el pago desde tu Banco de forma cómoda y segura.",3.1,271,118,20,[]
Rapicredit Móvil,"RAPICREDIT MOVIL permite solicitar créditos rápidos a través de smartphones Android. Con RAPICREDIT MOVIL podrás: - Registrarte y diligenciar tu perfil - Enviar tu 1ra solicitud y solicitudes posteriores - Gestionar tus solicitudes - Firmar tu contrato y hacerle seguimiento a nuestros desembolsos - Gestionar tus créditos - Solicitar ampliación de plazo para tus créditos - Referir a tus amigos - Recibir notificaciones directamente en tu celular - (Próximamente pagar tus créditos) Recuerda que el servicio de RapiCredit tiene costos asociados y puede afectar tu historia crediticia. Úsalo sólo en urgencias o casos especiales. El atraso en el pago genera intereses de mora, gastos de cobranza & penalizaciones y reporte en las centrales de riesgo. COMPAÑÍA DE CRÉDITOS RÁPIDOS SAS tiene por objeto social el desarrollo de productos y servicios que promuevan la inclusión financiera y el acceso al crédito de las personas así como de las micro, pequeñas y medianas empresas (mipymes). Desarrollamos, administramos y operamos plataformas electrónicas y ofrecemos productos & servicios apoyados en las tecnologías de la información y comunicación TICs que democratizan y profundizan el acceso al crédito. RapiCredit es una plataforma de préstamos online de libre destinación y corto plazo. Nuestros clientes deciden cuánto dinero necesitan y el período de tiempo para pagar. Las principales características del servicio son su flexibilidad, rapidez y la ausencia de trámites físicos. Son créditos personalizados ya que son diseñados a la medida de las necesidades del cliente y 100% en Internet. La utilización de este servicio se puede hacer a partir de un monto mínimo por cada solicitud de cien mil ($100.000) pesos y un plazo de financiación mínimo de cinco (5) días calendario y hasta treinta (30) días máximo. El cupo máximo inicial para clientes es de trescientos cincuenta mil ($350.000) pesos y de quinientos mil ($500.000) pesos para clientes recurrentes con buen comportamiento.",3.4,478,217,57,[Nuestra nueva versión cuenta con la funcionalidad que te permite hacer pagos de tus créditos a través de la App.]
